t,x,y,z
0.0,6.0,6.0,15.0
0.01,6.034778535436551,6.718691439733179,14.982173159427248
0.02,6.134658174203213,7.438670289797105,15.01225086943943
0.03,6.293814112166288,8.164843139411042,15.09494771570312
0.04,6.507377552585602,8.900754278002147,15.236017025616388
0.05,6.7712087680523565,9.648438812950085,15.442106980339982
0.06,7.081675319742019,10.40823820025503,15.720615101188661
0.07,7.435432126802472,11.178577128838379,16.079514189552842
0.08,7.829199533904855,11.95570698214717,16.527122117709506
0.09,8.259536979561794,12.733429815127531,17.07178819565913
0.1,8.722611876964583,13.502825076085392,17.721469107431293
0.11,9.21396602725429,14.252015878072603,18.48317154939244
0.12,9.728285876639776,14.966024591376067,19.362246908846114
0.13,10.259187844816358,15.626782952209192,20.361538380076873
0.14,10.799035512098715,16.213373125484154,21.480404979054274
0.15,11.338811686310764,16.70258182569701,22.713679742116074
0.16,11.868073507738691,17.069839370899825,24.050661565800095
0.17,12.375021709557803,17.290586310824967,25.474283730048867
0.18,12.846713817691146,17.34205536711532,26.9606389751543
0.19,13.269443317424871,17.20537529433999,28.479056278105645
0.2,13.629291223567481,16.8678067015712,29.992900660449695
0.21,13.91283319994213,16.324825996370667,31.461193764415317
0.22,14.107956390184677,15.581711708490491,32.84102577396377
0.23,14.204711405297434,14.654291202086721,34.090568777047515
0.24,14.196102762130948,13.568592897560812,35.17234125419454
0.25,14.0787138699037,12.35931955820197,36.056264722800734
0.26,13.85307464809314,11.06727625820878,36.72203801906432
0.27,13.523712210100165,9.736098784778052,37.160453851873605
0.28,13.09887076193125,8.408766207780438,37.373474622046515
0.29,12.589936757061372,7.124409016933324,37.373121317403736
0.3,12.010646921934889,5.915833048793851,37.179440195623656
0.31,11.376181377784167,4.80800456401183,36.817943597949316
0.32,10.702247947763643,3.8175425570146646,36.31694864956744
0.33,10.004249395042578,2.9530888662139505,35.70517349733581
0.34,9.296598277572407,2.2163200787526067,35.009828162564325
0.35000000000000003,8.592213256104127,1.6033278236826132,34.25530208063965
0.36,7.90220220272698,1.1061179224395798,33.46243489878324
0.37,7.2357159043314265,0.7140373265090141,32.648280279682155
0.38,6.59994281218645,0.41500837264429813,31.826235513488673
0.39,6.000209923137097,0.19651385137397667,31.006406481931606
0.4,5.440155307311001,0.04632508765547881,30.196094689090444
0.41000000000000003,4.92194189806859,-0.0470036921890237,29.400319790306646
0.42,4.446488255398321,-0.09383542273781784,28.622319466015792
0.43,4.013698263441689,-0.10330125677061236,27.863992723060523
0.44,3.6226775253793564,-0.08326146304241813,27.12627148740748
0.45,3.2719290013078397,-0.040340836263819804,26.409418162501115
0.46,2.959524249942189,0.019988628146845946,25.713254692496548
0.47000000000000003,2.683249058022473,0.09329934417020576,25.037332375356378
0.48,2.4407242764221424,0.1760884705814364,24.38105331571558
0.49,2.229503661016545,0.2656571965901209,23.743753943990598
0.5,2.0471511311329538,0.35999544389698507,23.124759932480554
0.51,1.8913001279357897,0.4576757566531581,22.523420310957672
0.52,1.759697759666223,0.5577583849071207,21.93912704534374
0.53,1.6502362820820369,0.6597082737517259,21.37132488100552
0.54,1.5609742636701704,0.7633238649118377,20.819515023133693
0.55,1.4901495091611905,0.8686771419279108,20.283255238266364
0.56,1.4361855572573212,0.9760640592360481,19.76215818323699
0.5700000000000001,1.397693304623585,1.085964350151367,19.255889179861857
0.58,1.3734690625284227,1.1990096757760715,18.76416424785437
0.59,1.36249012904444,1.315959090185702,18.286748912078213
0.6,1.3639087626313775,1.437680848765145,17.82345810955357
0.61,1.377045268330687,1.565139662194845,17.374157407811804
0.62,1.4013807578351054,1.6993885843204466,16.938765688781338
0.63,1.4365500227869943,1.841564797763244,16.51725943087439
0.64,1.482334845106807,1.9928886419810052,16.109678728419592
0.65,1.5386579847214374,2.154665289458808,15.716135219490795
0.66,1.6055780050965547,2.3282885260109922,15.336822135326758
0.67,1.6832850318679702,2.5152461216376327,14.97202674126464
0.68,1.7720974820015276,2.717126285681007,14.622145504417954
0.6900000000000001,1.8724597500905507,2.9356246794524488,14.287702395145276
0.7000000000000001,1.984940788023024,3.1725514030759756,13.969370810446087
0.71,2.1102334532419476,3.429837288555314,13.667999687071474
0.72,2.249154453711835,3.70953867804038,13.384644455779044
0.73,2.402644639809088,4.01383967167658,13.120603562777909
0.74,2.571769308235489,4.345050557005402,12.877461346269993
0.75,2.7577180803336194,4.705600774012216,12.657138085442174
0.76,2.961803766699032,5.098024271709605,12.461948016934423
0.77,3.185459485006567,5.524934623324199,12.294666001917285
0.78,3.430233040707608,5.9889863825999745,12.158603294605763
0.79,3.697777336517996,6.492818440756843,12.057692404986835
0.8,3.9898352183637766,7.0389740051893295,11.996580332407746
0.81,4.3082167610996205,7.629790701715694,11.980728279928694
0.8200000000000001,4.654766502420797,8.267253062494374,12.01651424992838
0.8300000000000001,5.031317573445135,8.952798464643047,12.111332379044619
0.84,5.439629122699226,9.687066821413378,12.27367967840482
0.85,5.881302674954063,10.469583788629846,12.513215407414025
0.86,6.357672782054529,11.29836881528899,12.840773294231294
0.87,6.869666848925986,12.169462060977189,13.268298284492138
0.88,7.417629374973816,13.076370971682339,13.808671483789464
0.89,8.00110672814735,14.00944810907495,14.47537778539672
0.9,8.618591138001474,14.955231360961681,15.281962136210105
0.91,9.267226313495083,15.895797971913693,16.241220447488242
0.92,9.942483883920424,16.808225249690555,17.364071390067405
0.93,10.637829375550544,17.664281930673784,18.658083231382385
0.9400000000000001,11.344408451770489,18.430521266760653,20.125667258917517
0.9500000000000001,12.050799204283049,19.06897231695218,21.762025612338117
0.96,12.742891116579838,19.53862855629606,23.55304206629764
0.97,13.403961734008012,19.79788144997579,25.47342003669529
0.98,14.015025428609349,19.807926056935315,27.485495957797077
0.99,14.555513674285995,19.536958877885436,29.5392124286441
1.0,15.004311706698545,18.964727083513775,31.573700719008468
1.01,15.341118672269564,18.08672015864259,33.52072630386755
1.02,15.54802472181814,16.91712908331215,35.309897232967835
1.03,15.611125308462967,15.489732155964223,36.87507987645833
1.04,15.521942073071935,13.856172741452742,38.16103635656373
1.05,15.278416098812565,12.081622321999415,39.12908154577705
1.06,14.885290215831338,10.238455642602313,39.76064382467855
1.07,14.353800889501963,8.399056211268125,40.058061191836906
1.08,13.700725815351552,6.6290603756141,40.04258147398425
1.09,12.946947468068508,4.982163436042515,39.750162657128875
1.1,12.115763358872789,3.497140685247708,39.226073038995565
1.11,11.231186255805639,2.1971689183446865,38.51937151791245
1.12,10.316438765982243,1.0910629719144749,37.67814553303357
1.1300000000000001,9.39277551111943,0.17577462613099362,36.74602064694406
1.1400000000000001,8.478687965174705,-0.5605383266594932,35.760080598068214
1.1500000000000001,7.58948068879872,-1.135446206820234,34.750050803251035
1.16,6.737163333640825,-1.5695642405025034,33.738441503595794
1.17,5.930581571756956,-1.8844371312940529,32.74130664001701
1.18,5.175707571401996,-2.101026131255413,31.7693127862416
1.19,4.476019861957504,-2.238737692204392,30.828887627600007
1.2,3.8329174667188117,-2.314888556825148,29.923298742385423
1.21,3.2461290789025474,-2.3444927217959832,29.053582660233882
1.22,2.7140922537877987,-2.3402669762663737,28.21929473807898
1.23,2.234288862367351,-2.3127718536794295,27.419082766261596
1.24,1.8035312340726826,-2.270626425769383,26.651104758612146
1.25,1.418198838293438,-2.2207544451231893,25.91331858821104
