t,x,y,z,dx,dy,dz
0.0,6.0,6.0,15.0,3.4778535436551294,71.86914397331793,-1.782684057275219
0.02,6.134658174203213,7.438670289797105,15.01225086943943,12.95177883648688,72.30758498389321,5.638727813793707
0.04,6.507377552585602,8.900754278002147,15.236017025616388,23.86973279430339,74.17978367695207,17.3579632318432
0.06,7.081675319742019,10.40823820025503,15.720615101188661,33.21116793750571,76.50691579441457,31.870360460642928
0.08,7.829199533904855,11.95570698214717,16.527122117709506,41.20524263796614,77.74263431445763,49.613700305314524
0.1,8.722611876964583,13.502825076085392,17.721469107431293,47.721452384624854,75.92930314725368,70.56916768666542
0.12,9.728285876639776,14.966024591376067,19.362246908846114,52.2610908781034,68.73835370682934,93.91834153422155
0.14,10.799035512098715,16.213373125484154,21.480404979054274,53.9811920747203,53.78994367439077,117.60706810196007
0.16,11.868073507738691,17.069839370899825,24.050661565800095,51.8105011623519,29.40022425639779,138.03019939663955
0.18,12.846713817691146,17.34205536711532,26.9606389751543,44.72108039335342,-4.260550824248867,150.23862740283903
0.2,13.629291223567481,16.8678067015712,29.992900660449695,32.16949412586291,-44.02746489846618,149.10687431548354
0.22,14.107956390184677,15.581711708490491,32.84102577396377,14.593910267765182,-83.52673971419722,131.46875063160996
0.24,14.196102762130948,13.568592897560812,35.17234125419454,-6.299876769686648,-114.74858219423766,98.28479728766092
0.26,13.85307464809314,11.06727625820878,36.72203801906432,-27.750082990176793,-131.1610386711958,55.2094564536435
0.28,13.09887076193125,8.408766207780438,37.373474622046515,-46.688772651939644,-130.5844883922366,10.633373276506745
0.3,12.010646921934889,5.915833048793851,37.179440195623656,-60.68776896386021,-115.82022264607465,-27.758885972721146
0.32,10.702247947763643,3.8175425570146646,36.31694864956744,-68.59659913707941,-92.74578488989388,-55.63850503067533
0.34,9.296598277572407,2.2163200787526067,35.009828162564325,-70.60180694692247,-67.4880521265668,-72.49357083480777
0.36,7.90220220272698,1.1061179224395798,33.46243489878324,-67.82486758863524,-44.46452485868007,-80.351090047875
0.38,6.59994281218645,0.41500837264429813,31.826235513488673,-61.77529905971642,-25.876173756751847,-82.09368988752726
0.4,5.440155307311001,0.04632508765547881,30.196094689090444,-53.91340125342535,-12.175877178150008,-80.30433458124799
0.42,4.446488255398321,-0.09383542273781784,28.622319466015792,-45.41218173134516,-2.814878229079448,-76.81635336230647
0.44,3.6226775253793564,-0.08326146304241813,27.12627148740748,-37.088463106692416,3.148021025339625,-72.72872802797042
0.46,2.959524249942189,0.019988628146845946,25.713254692496548,-29.433997164268305,6.682009021701273,-68.6042893572369
0.48,2.4407242764221424,0.1760884705814364,24.38105331571558,-22.68726985029646,8.61789262099577,-64.6789215682893
0.5,2.0471511311329538,0.35999544389698507,23.124759932480554,-16.91017665403774,9.600928003151852,-61.016681651646195
0.52,1.759697759666223,0.5577583849071207,21.93912704534374,-12.053192292687626,10.101625854928383,-57.604771497607544
0.54,1.5609742636701704,0.7633238649118377,20.819515023133693,-8.004338646042314,10.448443408809233,-54.40348213695779
0.56,1.4361855572573212,0.9760640592360481,19.76215818323699,-4.6228102268802616,10.864360411172804,-51.36830292022535
0.58,1.3734690625284227,1.1990096757760715,18.76416424785437,-1.7601587789572903,11.499737001716788,-48.45701338918252
0.6,1.3639087626313775,1.437680848765145,17.82345810955357,0.7277569643123627,12.459028600457145,-45.62957521332032
0.62,1.4013807578351054,1.6993885843204466,16.938765688781338,2.9752377228153506,13.82125677841995,-42.844898846870706
0.64,1.482334845106807,1.9928886419810052,16.109678728419592,5.105398096722155,15.655024584778175,-40.05621056917971
0.66,1.6055780050965547,2.3282885260109922,15.336822135326758,7.231352357326628,18.029041608941228,-37.20542391130766
0.68,1.7720974820015276,2.717126285681007,14.622145504417954,9.458735911129025,21.018927890740784,-34.21621730596826
0.7000000000000001,1.984940788023024,3.1725514030759756,13.969370810446087,11.888685157569924,24.710630455143416,-30.985135403690037
0.72,2.249154453711835,3.70953867804038,13.384644455779044,14.620559328357018,29.200119156063295,-27.369806214678306
0.74,2.571769308235489,4.345050557005402,12.877461346269993,17.753672026226553,34.58805511678176,-23.173273866786644
0.76,2.961803766699032,5.098024271709605,12.461948016934423,21.387070233647364,40.966692465599124,-18.123604176244385
0.78,3.430233040707608,5.9889863825999745,12.158603294605763,25.615892575571422,48.39419087163219,-11.8486798465226
0.8,3.9898352183637766,7.0389740051893295,11.996580332407746,30.521971229081203,56.84861304794248,-3.848206252906948
0.8200000000000001,4.654766502420797,8.267253062494374,12.01651424992838,36.155040617275716,66.15038814636762,6.530204955796194
0.84,5.439629122699226,9.687066821413378,12.27367967840482,42.49925507544651,75.83926619934016,20.094151418470346
0.86,6.357672782054529,11.29836881528899,12.840773294231294,49.41820869859606,84.99391361736707,37.7541438539057
0.88,7.417629374973816,13.076370971682339,13.808671483789464,56.57199396106819,91.999302404888,60.35397504522905
0.9,8.618591138001474,14.955231360961681,15.281962136210105,63.30597926738659,94.31749314193712,88.29213310457601
0.92,9.942483883920424,16.808225249690555,17.364071390067405,68.53015310277294,88.42419793800445,120.84313919470696
0.9400000000000001,11.344408451770489,18.430521266760653,20.125667258917517,70.64849143662525,70.2345193139198,155.1971190477865
0.96,12.742891116579838,19.53862855629606,23.55304206629764,67.65812648624842,36.445456651180734,185.5697212178593
0.98,14.015025428609349,19.807926056935315,27.485495957797077,57.577597013899094,-13.046128604517662,203.28961959744015
1.0,15.004311706698545,18.964727083513775,31.573700719008468,39.28024989917844,-72.51193596214239,199.07569376117226
1.02,15.54802472181814,16.91712908331215,35.309897232967835,13.500331809670115,-129.84940013391815,167.71767862953902
1.04,15.521942073071935,13.856172741452742,38.16103635656373,-16.635460482520102,-170.4054916982402,112.70008346593568
1.06,14.885290215831338,10.238455642602313,39.76064382467855,-46.23076046553001,-184.12830553656437,46.448982302993045
1.08,13.700725815351552,6.6290603756141,40.04258147398425,-70.34267107167273,-170.84463876128035,-15.394926735401668
1.1,12.115763358872789,3.497140685247708,39.226073038995565,-85.78806061314333,-139.2497258848913,-61.5395569608213
1.12,10.316438765982243,1.0910629719144749,37.67814553303357,-91.92053723431042,-101.06971461068456,-88.66754354841919
1.1400000000000001,8.478687965174705,-0.5605383266594932,35.760080598068214,-90.16474111603543,-65.56104164756132,-99.7984921846512
1.16,6.737163333640825,-1.5695642405025034,33.738441503595794,-82.94495585208915,-37.449546223691456,-100.43720816170253
1.18,5.175707571401996,-2.101026131255413,31.7693127862416,-72.72808548997256,-17.715028045516945,-95.62095062084995
1.2,3.8329174667188117,-2.314888556825148,29.923298742385423,-61.49453915274776,-5.287751479579555,-88.76524836830617
1.22,2.7140922537877987,-2.3402669762663737,28.21929473807898,-50.592010826759775,1.5860434058276809,-81.72499469861418
1.24,1.8035312340726826,-2.270626425769383,26.651104758612146,-40.80450120369561,4.600870427812012,-75.28820890252769
1.26,1.0744286643614844,-2.168634461503291,25.203671919095818,-32.49673291671875,5.110842723284392,-69.65502296368436
1.28,0.4957684637790888,-2.0737443008185394,23.86117973710711,-25.757853258123447,4.090056248896687,-64.76209211631658
1.3,0.036606231296879566,-2.0093641105462505,22.61022951456317,-20.515846519460982,2.1874257918189954,-60.46106017778652
1.32,-0.331596674534505,-1.9885997801725919,21.44054734924332,-16.618552168289195,-0.1967608068548543,-56.59967869670527
