t,x,y,z,dx,dy,dz
0.0,1.0,1.0,1.0,-1.0097718629245356,0.9900980882973975,9.515620968810378
0.02,0.9796178568463905,1.0196077002842727,1.181220932183738,-1.0371652803396145,0.9612260037496227,8.19351869648343
0.04,0.9585368415880408,1.0384593177705324,1.329329498227514,-1.0698633573997185,0.9244101154559488,6.689521848465851
0.06,0.9368429677667554,1.0565928515241994,1.4501137257210395,-1.0986241566338961,0.8893459118461848,5.448504725419596
0.08,0.9146083772062433,1.0740405596420441,1.5483528861262106,-1.1240775959569334,0.8557649833223806,4.42462708115653
0.1,0.8918937805943981,1.09082969041666,1.6279932489102034,-1.146741909311892,0.8234339505981296,3.580049038115078
0.12,0.8687504960245677,1.10698314988715,1.6922934894734356,-1.1670424872747347,0.7921511126249641,2.8835315822491907
0.14,0.8452221359697829,1.1225201009069665,1.743944341786309,-1.185328082445345,0.7617430536403305,2.3092641753521974
0.16,0.8213460061019074,1.1374564978184039,1.785167658846101,-1.201883749931035,0.7320615237648624,1.8359479033116344
0.18,0.7971542577842315,1.1518055573417696,1.8177980675823808,-1.216942375060782,0.7029803018420964,1.445984784628152
0.2,0.7726748359417502,1.1655781717353744,1.8433503712091768,-1.230693835095515,0.6743924955042075,1.1248434828226692
0.22,0.747932257949219,1.178783269107668,1.8630752455627273,-1.2432927725812775,0.6462079885088201,0.86052087317114
0.24,0.72294825174276,1.1914281260794577,1.8780052161659213,-1.254864916782772,0.6183512199883623,0.6431064626359557
0.26,0.6977422785746389,1.203518638114475,1.8889926714337093,-1.2655124088492329,0.5907591641535745,0.46441381187472075
0.28,0.6723319594731731,1.2150595521595797,1.8967412093360405,-1.2753181080850098,0.5633795880822987,0.3176824942770651
0.3,0.6467334234910569,1.2260546666809917,1.9018315592921051,-1.2843491604879382,0.5361695149974111,0.1973295338561769
0.32,0.6209615912489718,1.2365070028594134,1.9047429778800842,-1.2926599222823114,0.5090938846438036,0.09874432885034423
0.34,0.5950304056104829,1.246418950980074,1.9058709268964378,-1.3002943596442265,0.48212439543264907,0.01811915765982519
0.36,0.5689530188054963,1.255792395193227,1.9055416596581656,-1.307287987445683,0.4552385130238932,-0.04768910276689553
0.38,0.5427419449615513,1.2646288200148073,1.9040243243019925,-1.3136694952857724,0.42841859472229515,-0.1012764478116992
