t,x,y
0.0,1.2888925770548227,1.3904720750487378
0.009999999999999998,1.296260711745245,1.339967722156697
0.019999999999999997,1.3038701990545414,1.2913043975441245
0.029999999999999995,1.3117174818979822,1.244414967229844
0.039999999999999994,1.319799225967386,1.1992347259927627
0.04999999999999999,1.3281123091445242,1.1557013319011158
0.05999999999999999,1.3366538077810124,1.1137546904828477
0.06999999999999999,1.3454209877607803,1.0733368891634234
0.07999999999999999,1.354411296541675,1.0343921295553196
0.08999999999999998,1.3636223586663836,0.9968666908757392
0.09999999999999998,1.3730519586581575,0.9607087746919828
0.10999999999999999,1.3826980308266954,0.9258684277627075
0.11999999999999998,1.3925586582374507,0.89229751968763
0.12999999999999998,1.402632074968754,0.859949741610914
0.13999999999999999,1.4129166469762853,0.8287804500419317
0.14999999999999997,1.4234108659779112,0.7987466041907212
0.15999999999999998,1.4341133489551674,0.7698067451130438
0.16999999999999998,1.445022831680553,0.7419209303516967
0.17999999999999997,1.456138163050282,0.7150506735279945
0.18999999999999997,1.4674583002670845,0.6891588909745656
0.19999999999999996,1.4789823051065274,0.6642098549406241
0.20999999999999996,1.4907093390494353,0.640169139598287
0.21999999999999997,1.5026386601439774,0.617003578889579
0.22999999999999995,1.5147696188377857,0.5946812173780136
0.23999999999999996,1.527101655187478,0.5731712709994518
0.24999999999999997,1.539634293846312,0.5524440714170692
0.25999999999999995,1.5523671414138203,0.532471028000756
0.26999999999999996,1.565299885744214,0.5132246064021972
0.27999999999999997,1.5784322920762055,0.49467827976041995
0.29,1.5917642012762065,0.47680649742312115
0.29999999999999993,1.6052955246497334,0.4595846325449243
0.30999999999999994,1.6190262423560144,0.44298895248888437
0.31999999999999995,1.6329564038618487,0.4269966025456274
0.32999999999999996,1.6470861243213697,0.4115855644250218
0.33999999999999997,1.6614155808448219,0.3967346147253546
0.3499999999999999,1.6759450132650933,0.38242331143606634
0.35999999999999993,1.6906747217102236,0.36863196133170406
0.36999999999999994,1.7056050642616,0.35534158875659017
0.37999999999999995,1.720736456039104,0.34253391293042734
0.38999999999999996,1.736069367852289,0.3301913233480943
0.3999999999999999,1.751604324310218,0.3182968520607253
0.4099999999999999,1.767341902530175,0.30683415025545746
0.41999999999999993,1.7832827313563504,0.2957874686338131
0.42999999999999994,1.799427489956526,0.2851416340250507
0.43999999999999995,1.8157769064211524,0.2748820264046663
0.44999999999999996,1.8323317571581712,0.2649945616271064
0.4599999999999999,1.8490928658183081,0.2554656713631454
0.4699999999999999,1.8660611019638793,0.24628228119411963
0.4799999999999999,1.8832373805782185,0.23743179561094183
0.48999999999999994,1.9006226613139898,0.22890208125325193
