t,x,y,dx,dy
0.0,10.95,4.85,-13.674388254932925,-8.99285359153892
0.039999999999999994,10.403024469802682,4.490285856338443,-12.444855813560338,-8.772761852128014
0.07999999999999999,9.954411534915172,4.148179051829759,-10.162924700915369,-8.312244202694828
0.11999999999999998,9.589990493729452,3.8253063201228565,-8.20427143885722,-7.821137022845825
0.15999999999999998,9.298069819806594,3.522488090002093,-6.512101086899307,-7.31712455619374
0.19999999999999996,9.06902240677751,3.2399363556273575,-5.039280253610528,-6.813412840310519
0.23999999999999996,8.894927399517753,2.9774150627772515,-3.7469153986875767,-6.319614507106685
0.27999999999999997,8.769269174882503,2.7343671950588226,-2.602984576389943,-5.842516772128491
0.31999999999999995,8.686688633406558,2.510013721006972,-1.5811408288673476,-5.386707303667663
0.35999999999999993,8.642777908573114,2.30343061076541,-0.6596905913874167,-4.955082081228792
0.3999999999999999,8.633913386095564,2.113607154508669,0.1792723605945099,-4.549258010403353
0.43999999999999995,8.657119697420676,1.9394899699331418,0.9505727008796185,-4.1698943489679685
0.4799999999999999,8.709959202165933,1.7800156065912311,1.6665303837886967,-3.816945654973715
0.5199999999999999,8.790442128123772,1.634134317535245,2.3374311447631584,-3.4898596744304236
0.5599999999999999,8.896953693746987,1.5008268326367975,2.971907740329172,-3.1877302114142942
0.5999999999999999,9.028194747350105,1.3791159006221014,3.5772460157767796,-2.909413230350941
0.6399999999999999,9.18313337500913,1.2680737742087225,4.159633298841257,-2.653615877342805
0.6799999999999999,9.360965411257405,1.1668266304346768,4.724359527972027,-2.418963443010659
0.7199999999999999,9.561082137246892,1.0745566987678699,5.2759793954542005,-2.2040488509321925
0.7599999999999999,9.78304376289374,0.9905027223601015,5.818444770690192,-2.007469358373699
0.7999999999999998,10.026557718902108,0.9139591500979741,6.355212005395714,-1.8278526195608418
0.8399999999999999,10.291460723325397,0.8442745127952341,6.889328741696147,-1.6638745258191978
0.8799999999999999,10.577704018237801,0.7808491880324382,7.423505657645421,-1.5142715858758216
0.9199999999999998,10.885341175937032,0.7231327859251686,7.960174894633894,-1.3778483933422336
