t,x,y,z,dx,dy,dz
0.0,50.0,40.0,10.0,-20.004843910295733,18.00034383837712,2.0045000719186135
0.24,45.1887059330392,44.305414937939965,10.505879129020919,-20.02091476902342,17.80564531323489,2.2152694557900077
0.48,40.42449029034599,48.51257354223569,11.062936167418467,-19.610843406979484,17.185217417578315,2.4256259894007144
0.72,35.80702708078392,52.52357847456369,11.669394444652541,-18.807036199566028,16.180861336764337,2.6261748628023724
0.96,31.42322731434019,56.25439401545693,12.322378670203026,-17.676871994835892,14.864157268646977,2.8127147261883465
1.2,27.341328579367254,59.64055315396022,13.018118266672674,-16.3064791453794,13.324457155050368,2.982021990329031
1.44,23.607931965082674,62.63986645671365,13.752201578203831,-14.787959796426549,11.65597238752298,3.131987408904024
1.68,20.24796248013979,65.2321930327521,14.51984448710826,-13.208194472990044,9.946590743250908,3.261603729739477
1.92,17.26695753712757,67.41690081749027,15.316141645382311,-11.64086573374857,8.270026342070196,3.370839391677805
2.16,14.654793198039876,69.20892890370409,16.13627789825616,-10.142454910456422,6.682013737173293,3.4604411732831295
2.4,12.389945780685963,70.63436555761608,16.975688661698104,-8.751597070855723,5.219883613368893,3.5317134574871716
2.64,10.443601175665401,71.72623087029939,17.830167954035343,-7.490842132737953,3.9045348956178714,3.586307237119968
2.88,8.783168173748358,72.52090246526454,18.695929360987233,-6.369673303704417,2.743631944765184,3.6260413589393465
3.12,7.375010084783116,73.05536096642379,19.569628948793227,-5.387878236488177,1.7351134281620944,3.6527648083265376
3.36,6.18638586504421,73.36525402101009,20.44836011394582,-4.538692613199487,0.8704326621354994,3.668259951064101
3.6,5.186697498914562,73.48367291005201,21.32962959103355,-3.8114073453434116,0.1372260314756204,3.674181313867848
3.84,4.34818554657925,73.44049211562977,22.2113223377911,-3.193356094261617,-0.47866657344002306,3.672022667701185
4.08,3.646219605440156,73.26211929633644,23.091661098223526,-2.6713216233544017,-0.9917827238709833,3.663104347225044
4.32,3.059312430045047,72.97152282818259,23.969164741772488,-2.2324473224398957,-1.4161274854577641,3.6485748078973756
4.5600000000000005,2.568961012281499,72.5884309287932,24.842608058925425,-1.8647857632616223,-1.7646346919100324,3.6294204551707026
4.8,2.1593910224778474,72.12962440319063,25.71098457433164,-1.5575753163730894,-2.048905015228229,3.606480331601915
5.04,1.8172575783810936,71.6092692683424,26.573473153276634,-1.3013371671079597,-2.279125579213087,3.5804627463212455
5.28,1.5313373561378616,71.03925398771348,27.429408656148777,-1.087860917997162,-2.464101206830037,3.5519621248279236
5.5200000000000005,1.2922331748382376,70.42951026920493,28.27825655595694,-0.9101220905954932,-2.6113529687140726,3.5214750593090685
5.76,1.092102708737717,69.78830604518194,29.119591246080443,-0.7621671096336797,-2.7272478288255115,3.4894149384599586
6.0,0.9244166778544035,69.12250565154122,29.953077670604483,-0.6389859206257995,-2.8171390859647545,3.456125006591037
6.24,0.7837477905168777,68.43779633528446,30.77845587419876,-0.5363846638184171,-2.885504945912089,3.421889609730215
