t,x,y,z
0.0,50.0,40.0,10.0
0.01,49.79995156089704,40.18000343838377,10.020045000719186
0.02,49.59981071412258,40.36000928194735,10.040180003930065
0.03,49.39958461378514,40.54001037701962,10.060405009195254
0.04,49.19928126414914,40.71999872371434,10.080720012136531
0.05,48.998908211425444,40.89996678406225,10.101125004512316
0.06,48.79847305481356,41.07990697088939,10.121619974297055
0.07,48.597983401433176,41.25981169296363,10.14220490560321
0.08,48.39744686481446,41.4396733563677,10.162879778817857
0.09,48.19687106394591,41.619484365536934,10.183644570517167
0.1,47.996263619776194,41.799237126740536,10.20449925348328
0.11,47.795632150952784,41.978924052324494,10.225443796722729
0.12,47.59498428447858,42.15853755009332,10.246478165428114
0.13,47.3943276497362,42.338070029270305,10.267602320993518
0.14,47.19366987684024,42.51751390214439,10.288816221015404
0.15,46.99301859542885,42.696861585279144,10.310119819292035
0.16,46.79238143345534,42.87610550072179,10.331513065822909
0.17,46.591766015979715,43.055238077212145,10.352995906808193
0.18,46.39117996396031,43.234251751391604,10.374568284648145
0.19,46.19063089304535,43.41313896901216,10.39623013794255
0.2,45.990126410513554,43.59189218795405,10.417981401532458
0.21,45.789674097902925,43.770503895228096,10.439822006869043
0.22,45.58928153496297,43.94896658359916,10.46175188143794
0.23,45.38895629362871,44.127272757502574,10.483770948868793
0.24,45.1887059330392,44.305414937939965,10.505879129020919
0.25,44.98853799824823,44.48338566376727,10.528076337984592
0.26,44.788460018934906,44.66117749298288,10.550362488082325
0.27,44.58847950811434,44.83878300401564,10.572737487870144
0.28,44.38860396084827,45.016194797012986,10.595201242138877
0.29,44.188840852955714,45.19340549512901,10.617753651915429
0.3,43.989197639903416,45.37040774562398,10.640394614472747
0.31,43.78968177556907,45.54719420013107,10.663124024300009
0.32,43.59030069272873,45.72375753504803,10.685941772223387
0.33,43.391061790897105,45.900090464220945,10.708847744882098
0.34,43.1919724458284,46.07618572892071,10.73184182525104
0.35000000000000003,42.99304000833689,46.25203609901587,10.754923892647394
0.36,42.79427180311755,46.42763437414539,10.778093822737207
0.37,42.5956751275666,46.60297338489157,10.801351487541986
0.38,42.397257250602095,46.778045993952766,10.824696755445297
0.39,42.19902541148452,46.952845097316285,10.84812949119935
0.4,42.000986818637365,47.127363625431194,10.871649555931594
0.41000000000000003,41.803148656226945,47.30159453605361,10.8952568077196
0.42,41.605518087119364,47.475530810980175,10.918951101900614
0.43,41.40810222966367,47.649165480872384,10.9427322894641
0.44,41.21090816764681,47.822491614479524,10.966600217873822
0.45,41.013942949535185,47.99550231935969,10.990554731105277
0.46,40.817213587372684,48.168190742969514,11.014595669657954
0.47000000000000003,40.62072705567866,48.340550073753896,11.038722870567597
0.48,40.42449029034599,48.51257354223569,11.062936167418467
0.49,40.22851018753907,48.68425442210547,11.087235390355614
0.5,40.032793602591845,48.85558603131118,11.11162036609713
0.51,39.83734735249397,49.02656172934268,11.136090918163498
0.52,39.64217823067557,49.1971749014736,11.16064686785098
0.53,39.44729297610013,49.3674189914593,11.185288032440715
0.54,39.25269828142731,49.53728749280137,11.210014225771477
0.55,39.05840079458185,49.70677394700476,11.23482525841354
0.56,38.86440711774103,49.87587194457278,11.259720937686343
0.5700000000000001,38.67072380632203,50.04457512600196,11.284701067676162
0.58,38.47735736796932,50.212877182777056,11.309765449253778
0.59,38.28431426154207,50.38077185836593,11.334913880092154
0.6,38.09160089610153,50.548252949214515,11.360146154684102
0.61,37.89922363083082,50.715314304772114,11.385462064397212
0.62,37.707188798258656,50.88194980328137,11.410861398460119
0.63,37.51550267385228,51.04815338334243,11.436343942805438
0.64,37.32417147247839,51.213919047535285,11.461909479986472
0.65,37.133201356272295,51.37924085417802,11.487557789549834
0.66,36.94259843374582,51.5441129181964,11.513288648057928
0.67,36.752368758895216,51.70852941199348,11.53910182911145
0.68,36.56251833030903,51.87248456631926,11.564997103371857
0.6900000000000001,36.373053090276045,52.035972671140236,11.590974238583868
0.7000000000000001,36.18397892389314,52.19898807650906,11.617032999597946
0.71,35.99530165817322,52.36152519343415,11.643173148392778
0.72,35.80702708078392,52.52357847456369,11.669394444652541
0.73,35.6191609341819,52.68514242016943,11.695696645648827
0.74,35.431708883305944,52.846211611318864,11.722079505375346
0.75,35.244676533899145,53.0067806909876,11.748542775113414
0.76,35.05806943182381,53.16684436471606,11.775086203460285
0.77,34.871893062314285,53.326397401330134,11.801709536355737
0.78,34.68615284922978,53.485434633661725,11.828412517108655
0.79,34.50085415430716,53.64395095926939,11.855194886423604
0.8,34.31600227641382,53.801941341158916,11.882056382427423
0.81,34.13160245080042,53.95940080850393,11.908996740695802
0.8200000000000001,33.94765985846835,54.11632444704606,11.936015694485745
0.8300000000000001,33.764179647536544,54.27270737725132,11.963112975212281
0.84,33.581166879158324,54.428544809452426,11.990288311389405
0.85,33.39862654809195,54.58383202281764,12.017541429090565
0.86,33.21656358466543,54.73856436330426,12.04487205203046
0.87,33.03498285419086,54.892737244214395,12.072279901594902
0.88,32.85388915637879,55.04634614675067,12.09976469687069
0.89,32.673287224752606,55.19938662057207,12.12732615467548
0.9,32.49318172606287,55.35185428434962,12.154963989587657
0.91,32.313577259701724,55.503744826322226,12.182677913976201
0.92,32.13447838227396,55.655053979337936,12.210467638388248
